tweet_id	tweet_text	tweet_timeStamp	filt_tweet_text
'383790723222364161'	#Earthquake 2013-09-28 02:39:43 (M5.0) EAST OF THE SOUTH SANDWICH ISLANDS -59.5 -19.1 (70fa9) http://t.co/uBN98fFmNj notice	1380337813560	#Earthquake (M5.0) EAST SOUTH SANDWICH ISLANDS 
'384232048124518400'	#earthquake M2.2: Puerto Rico region http://t.co/f2OBUZAF7x	1380443033616	#earthquake M2.2: Puerto Rico region 
'384860484643475456'	#PAKISTAN: #NASA releases images of Pakistan's '#Earthquake #Island'  | http://t.co/wBKdQFT7Fu | c #SCIENCE | RT |``	1380592864558	#PAKISTAN: #NASA releases images Pakistan's '#Earthquake #Island' #SCIENCE 
'383407962619772928'	【#USGS #alert】 M 1.5, Central Alaska: September 27, 2013 01:43:53 GMT http://t.co/Lxne9Dghfx #earthquake #tsunami #prayfromjapan	1380246556321	【#USGS #alert】 M Central Alaska: September GMT #earthquake #tsunami #prayfromjapan 
'384275270082887680'	RT @AQpk: RT @313syiSitak: #YFK volunteers share their views on #Kashmir with Farah in her live Morning Show on #ATV http://t.co/alLPKCLeDy…	1380453338534	#YFK volunteers views #Kashmir Farah Morning Show #ATV 
'382846453221036032'	@HamidMirGEO: It is ridiculous, rubbish. Now you're doing the same using #EarthQuake for ur own filthy purposes. Pardon me fr my language.	1380112682048	rubbish. #EarthQuake purposes. language. 
'384223701144576001'	@mosharrafzaidi #Pakistan #Peshawar A Message For Terrorists &amp; Their Supporters/Sympathizers http://t.co/DakrfWGG6E	1380441043541	#Pakistan #Peshawar Message Terrorists Supporters/Sympathizers 
'383596911598768128'	RT @CNBCPAKISTAN: Minister of State Sheikh Aftab: 9 soldiers and 4 civilians killed due to firing by Indian forces at #LoC #Pakistan	1380291605268	Minister State Sheikh Aftab: soldiers civilians forces #LoC #Pakistan 
'384041956038303744'	RT @kkfpk: Pic-9 #KKF send relief goods for #Balochistan Earthquake Victims #ReliefByKKF #MQM #Pakistan http://t.co/0lVb1lsY95	1380397712131	Pic-9 #KKF relief goods #Balochistan Earthquake Victims #ReliefByKKF #MQM #Pakistan 
'384607507382935552'	RT @AnasMallick: Day 7th and some parts of Balochistan hit by #EarthQuake are YET to receive relief aid. #Pakistan	1380532550079	Day parts Balochistan #EarthQuake relief #Pakistan 
'383904420523544576'	RT @Emirates247: Breaking News: Powerful 6.8 #earthquake rocks #Pakistan again; Tremors in UAE? http://t.co/X08hupMdzc	1380364921109	News: #earthquake rocks #Pakistan again; Tremors UAE? 
'383984866217295872'	what does attack on #earthquake relief means? terrorist org dnt want to let anyone do good to #Balochistan	1380384100857	attack #earthquake relief means? terrorist org anyone #Balochistan 
'383877756872032257'	Karachi: Magnitude 7.2 earthquake jolts different parts of Sindh, Balochistan,Awaran #Pakistan	1380358563999	Karachi: Magnitude earthquake jolts parts Sindh, Balochistan,Awaran #Pakistan 
'383487691297284098'	Field Mecical Camps and lady doctors are also Reaching #Earthquake Affected Areas in #Balochistan Fed Minster Gen Rt Abdul Qadir #PMLN	1380265565119	Field Mecical Camps lady doctors #Earthquake Areas #Balochistan Fed Minster Gen Rt Abdul Qadir #PMLN 
'383215415931195392'	RT @Baloch_istan: Interior Minister Chaudhry Nisar to visit #earthquake hit areas of #Balochistan tomorrow. (RT @khalidkhan787)	1380200649613	Interior Minister Chaudhry Nisar #earthquake hit areas #Balochistan tomorrow. (RT 
'384745974133817344'	#Earthquake Births New Island off #Pakistan : Natural Hazards http://t.co/80iGIHNXPQ #NASA	1380565563125	#Earthquake Births New Island #Pakistan Hazards #NASA 
'384241412361170944'	Very #Sad #News : 2 consecutive #Blasts in Qisa Khawani Bazar in #Peshawar #Pakistan currently reported dead 33... http://t.co/i3C8Qwmg4O	1380445266224	#Sad #News #Blasts Qisa Khawani Bazar #Peshawar #Pakistan 
'382842369953234944'	Death toll in Pakistan #earthquake rises to 210 - http://t.co/MWhdfGlbte via @NewsCanada-Plus RT	1380111708521	Death toll Pakistan #earthquake 
'384064514057986048'	【#USGS #alert】 M 1.8, Nevada: September 28, 2013 21:06:29 GMT http://t.co/2ps35c43VX #earthquake #tsunami #prayfromjapan	1380403090382	【#USGS #alert】 M Nevada: September GMT #earthquake #tsunami #prayfromjapan 
'383178520358559744'	RT @realsyedasarwat: May ALLAH give them strength who's family/relatives dead in #earthquake my prayers r with them! 😔	1380191853023	May ALLAH strength family/relatives #earthquake prayers them! 
'382851000031121408'	#Earthquake risk model coming for Canada, no #flood model yet http://t.co/7NuQuVLQ60 via @CdnUnderwriter	1380113766092	#Earthquake risk model Canada, #flood model 
'384515622828118016'	#earthquake: USGS Earthquake Alert: M 2.8 - 55km N of Hatillo, Puerto Rico http://t.co/fCLICp4y4o	1380510643094	#earthquake: USGS Earthquake Alert: M N Hatillo, Puerto Rico 
'384990330962968576'	USGS reports a M2.1 #earthquake 56km SW of Valdez, Alaska on 10/1/13 @ 10:33:11 UTC http://t.co/oOKy9OV6VI #quake	1380623822333	USGS M2.1 #earthquake SW Valdez, Alaska UTC #quake 
'384336925617713152'	#Osama Bin Laden raid #exposed as a complete lie by #Pakistan National TV  http://t.co/nUQXagaq1C	1380468038359	#Osama Bin Laden raid #exposed lie #Pakistan National TV 
'383818797448052736'	@thekiranbedi Media calls J&amp;K attack on peace process, seeing what #Pakistan said last night. Does the attack not look calculated?	1380344506977	Media J&amp;K attack peace process, #Pakistan night. attack 
'382892243641569280'	#Earthquake in western #Pakistan kills 100s &amp; creates island off coast http://t.co/8aApa5jXZP	1380123599335	#Earthquake #Pakistan &amp; island coast 
'382850881323933696'	RT@UNOCHA #Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v @UN	1380113737790	RT@UNOCHA #Pakistan: ppl 7.7earthquake Balochistan Province-http://t.co/i1vs2ERpvo v 
'383512595958730752'	USGS reports a M1.9 #earthquake 41km W of Anchorage, Alaska on 9/27/13 @ 8:39:13 UTC http://t.co/quFuoNVNP0 #quake	1380271502853	USGS reports M1.9 #earthquake W Anchorage, Alaska UTC #quake 
'383725101503356928'	【#USGS #Breaking】 M 2.0, 74km SE of Whittier, Alaska http://t.co/oLVB6CkUGc #PastHour #2 #earthquake #tsunami #prayfromjapan	1380322168123	【#USGS #Breaking】 M SE Whittier, Alaska #PastHour #2 #earthquake #tsunami #prayfromjapan 
'384805094828437504'	Deadly market bombing in Pakistan - The Age: Deadly market bombing in PakistanThe AgeDeadly market b... http://t.co/8OrihwZO9o #Pakistan	1380579658597	market bombing Pakistan Age: Deadly market bombing PakistanThe AgeDeadly market b... #Pakistan 
'383852368552415232'	1.9 magnitude #earthquake. 84km NNW of Talkeetna, Alaska.http://t.co/Q0lBMrfNOc	1380352510952	magnitude #earthquake. NNW Talkeetna, Alaska.http://t.co/Q0lBMrfNOc 
'383966872909004801'	2.0 magnitude #earthquake. 42 km from Hilo, HI, United States.http://t.co/iVmZohl4EL	1380379810918	magnitude #earthquake. km Hilo, HI, United States.http://t.co/iVmZohl4EL 
'384048769081171969'	RT @KarachiJUD: Khi:We need volunteers to support our rescue teams in #earthquake affected areas of #Balochistan. Pls contact at 0321274215.	1380399336487	Khi:We volunteers rescue teams #earthquake areas #Balochistan. Pls contact 
'383993008724516865'	USGS reports a M0 #earthquake 5km NW of The Geysers, California on 9/28/13 @ 16:32:33 UTC http://t.co/X0ob3jwgWK #quake	1380386042182	USGS M0 #earthquake NW Geysers, California UTC #quake 
'383994863982616576'	@WorldBank @UN @GlblCtzn What is UN doing about 100000 that just became homeless (+unknown death toll) in Pakistan?  #earthquake	1380386484510	UN death toll) Pakistan? #earthquake 
'384719876331302913'	PTI Minority MPA Exposed the Politics of ANP &amp; PPP on Dead bodies: PTI Minority MPA Exposed the... http://t.co/bjg64h1xDg #pakistan #ppp	1380559340924	PTI Minority MPA Politics ANP &amp; PPP bodies: PTI Minority MPA #pakistan #ppp 
'383889652022665216'	RT @ErumManzoor: I love #Pakistan &amp; I'll serve it no matter what the circumstances are.. Its my promise to you my Dear Great Quaid http://t…	1380361400024	#Pakistan matter circumstances promise Quaid 
'382859147173441536'	Part 1/3 .. A mere tweet may not express my deep grief for the loss of Baloch Nation due to the quake yesterday.. #balochistan #earthquake	1380115708522	Part tweet grief loss Baloch Nation quake yesterday.. #balochistan #earthquake 
'384526803739492353'	#earthquake: USGS Earthquake Alert: M 2.9 - 66km N of Hatillo, Puerto Rico http://t.co/pVmvCVRT3L	1380513308831	#earthquake: USGS Earthquake Alert: M N Hatillo, Puerto Rico 
'384307384686219264'	RT @AnasMallick: Parts of #Awaran are YET to receive #EarthQuake Relief items even after the 6th day! Includes NokJu and malaar areas to na…	1380460995252	Parts #Awaran #EarthQuake Relief items day! NokJu areas 
'382928382721531904'	RT @EarthquakeAu: New #Earthquake Mw 7.0 NEAR COAST OF SOUTHERN PERU: Magnitude   Mw 7.0 Region   NEAR COAST OF SOUTHERN PERU Date... http:…	1380132215563	New #Earthquake Mw COAST SOUTHERN PERU: Magnitude Mw Region COAST SOUTHERN PERU Date... http:… 
'383679474539442177'	And the #earthquake  death toll rises to 400. May their souls RIP.	1380311289807	#earthquake death toll souls RIP. 
'384074228364247040'	RT @TeapotTony: First request of the evening #earthquake @djfreshdnb @clubconcrete #requests #mainroom	1380405406453	request evening #earthquake #requests #mainroom 
'382813501729017856'	Saddened by powerful 7.7 magn.earthquake that killed 250 people in #Pakistan. Condolences for victims&amp;families and hope for a quick recovery	1380104825800	magn.earthquake people #Pakistan. Condolences victims&amp;families recovery 
'382856858240708608'	150+ tragically died while a new island was born due to the 7.8 mag #earthquake off the southern coast of #Pakistan: http://t.co/OEFbIzf3aw	1380115162798	island mag #earthquake coast #Pakistan: 
'384149259941322752'	2013 US Sumo Open [Earthquake (Cyrus Remix)] #sumo #power #slam #epic #variety #sport #earthquake ooohh killem https://t.co/2s2arIpa2z	1380423295375	US Sumo Open [Earthquake (Cyrus Remix)] #sumo #power #slam #epic #variety #sport #earthquake killem https://t.co/2s2arIpa2z 
'384100089389907968'	"RT @allaboutmqm: Article of Quaid-e-Tehreek Altaf Hussain in Express Tribune ""Dialogue, but with whom?"" #Pakistan #MQM http://t.co/Ivb9d9rp…"	1380411572202	"Article Quaid-e-Tehreek Altaf Hussain Express Tribune ""Dialogue, #Pakistan #MQM "
'382964275817365506'	#Pakistan quake death toll rises to over 300 #UFO4UBlogAsia http://t.co/blHMdM41V8	1380140773144	#Pakistan quake death toll #UFO4UBlogAsia 
'383677146352615424'	RT @bilalf90: #MQM #Pakistan KPK govt dispatches 13 trucks of relief goods to Balochistan’s quake hit areas: PESHAWAR: On th... http://t.co…	1380310734724	#MQM #Pakistan KPK govt dispatches trucks relief goods Balochistan’s quake PESHAWAR: th... 
'384707224112611328'	【#USGS #alert】 M 1.2, Southern California: September 30, 2013 15:35:07 GMT http://t.co/KDgJrc1vui #earthquake #tsunami #prayfromjapan	1380556324400	【#USGS #alert】 M Southern California: September GMT #earthquake #tsunami #prayfromjapan 
'384542387369832448'	RT @seismicupdate: #USGS M 3.7, 30km WNW of Seeley, California http://t.co/i37rMZVjfw #earthquake	1380517024258	#USGS M WNW Seeley, California #earthquake 
'383198497316818945'	Horrific tragedy. RT@etribune: Girl found dead on #Karachi beach Evidence suggests she ws suffocated http://t.co/AsyRJ2QrV9 #Pakistan #rape	1380196615901	tragedy. RT@etribune: Girl #Karachi beach Evidence #Pakistan #rape 
'384259990417973248'	RT @AnasMallick: And suddenly we all have forgotten the #EarthQuake victims!	1380449695578	#EarthQuake victims! 
'384837041814786048'	Every time somebody try to outshine my speakers I put em back in they place. #earthquake	1380587275352	time somebody speakers #earthquake 
'384975671514001408'	RT @US_Crimes: Obama with his family.  Pakistani family killed by Obama's drones.  #USCrimes #US #Pakistan #drones http://t.co/S8QK0Y4eOv	1380620327248	Obama family. Pakistani family Obama's drones. #USCrimes #US #Pakistan #drones 
'384200955094257664'	Mb 4.6 - Pakistan (354) 2013-09-28 19:28:02 UTC #earthquake #ubAlert http://t.co/c16JoZrTW5	1380435620460	Mb Pakistan UTC #earthquake #ubAlert 
'383241996519079936'	PhotoAlbum: #KKF send relief goods for #Balochistan #Earthquake Victims #ReliefByKKF #MQM #Pakistan http://t.co/URhm4ayubh	1380206986919	PhotoAlbum: #KKF relief goods #Balochistan #Earthquake Victims #ReliefByKKF #MQM #Pakistan 
'383624835802619904'	RT @Labrinthda1st: No DJs, just music with @BBCR1's most played songs from the past 5 years. Tune in from 5pm to hear if  #Earthquake made …	1380298262917	DJs, music songs years. Tune #Earthquake 
'383933003166003200'	RT @afzaal_k: #BLF Terrorist cheif Dr. Allah Nazr against #Pakistan army #Earthquake relief because he knows his lies are getting exposed	1380371735742	#BLF cheif Dr. Allah Nazr #Pakistan army #Earthquake relief lies 
