tweet_id	tweet_text	tweet_timeStamp	filt_tweet_text
'451867084658442240'	Consejos a tener en cuenta si ocurre un terremoto como el de Chile #Mediamza http://t.co/1iKC8QFgh3	1396568482924	Consejos tener cuenta si ocurre un terremoto el Chile #Mediamza 
'451252417024499712'	#Tu_Pornografic Gobierno de Chile confirma cinco muertos a causa del terremoto: SANTIAGO DE CH... http://t.co/YPhdZ6OFpU #Tu_Pornografic	1396421934740	#Tu Gobierno de Chile confirma cinco causa SANTIAGO DE CH... #Tu 
'451341796128219136'	Terremoto en #Chile y alerta Tsunami: 6 muertos… admirable ejemplo de prevención y disciplina  http://t.co/olOVGijR4I	1396443244379	Terremoto #Chile alerta Tsunami: muertos… ejemplo disciplina 
'451434639857836032'	RT @AdrianaLopezTV: Terremoto en Chile de 8.2 grados. Mis oraciones para los chilenos	1396465380049	Terremoto Chile grados. Mis oraciones para los chilenos 
'451538561956065280'	RT @ojsar: Arriba #Chile Dios con ustedes @24HorasTVN @TVChileTVN abrazos y oraciones a los afectados. Amo Chile	1396490157008	Arriba #Chile Dios con oraciones los afectados. Amo Chile 
'454284513754226688'	@paulinauribe__ Recolectan ayudas para damnificados de terremoto en Chile http://t.co/9xuQTO5Pdn via https://t.co/B81ZuiigTk APOYO RT RT RT	1397144842934	Recolectan ayudas para damnificados terremoto Chile APOYO 
'451555959786471424'	RT @JohnnieBuchanan: 7? @rescatevzla: Según informes preliminares del @USGS, el sismo ocurrido en Chile, hace minutos,  magnitud 7.4 #Repli…	1396494304974	Según preliminares el sismo ocurrido Chile, hace minutos, magnitud #Repli… 
'451241437770682368'	↑ 15 ↓ Gobierno de Chile confirma cinco muertos a causa del terremoto: SANTIAGO DE CHILE, Chile.- E... http://t.co/w8Cn8PoCk0 ↑ 15 ↓	1396419317082	↑ ↓ Gobierno Chile confirma cinco causa SANTIAGO DE CHILE, Chile.- E... ↓ 
'454297744069652480'	@prensalafkenche Recolectan ayudas para damnificados de terremoto en Chile http://t.co/9xuQTO5Pdn via https://t.co/B81ZuiigTk APOYO RT RT RT	1397147997287	Recolectan ayudas para damnificados terremoto Chile APOYO 
'451410669397491712'	#Chile: Sismo deja 5 muertos, presidenta #Bachelet declara catástrofe http://t.co/1RJj2AyMak	1396459665046	#Chile: Sismo deja muertos, presidenta #Bachelet declara catástrofe 
'452942154739245056'	Amigos honestos y que no necesitan le estaban distribuyendo ayuda .Ojo con eso #Iquique	1396824799605	Amigos honestos necesitan le estaban distribuyendo ayuda .Ojo eso #Iquique 
'451383028577607680'	6 muertes por ataques cardíacos tras el terremoto de 8.2 grados en Chile. 2000 casas afectadas.	1396453074961	muertes por cardíacos tras el terremoto grados Chile. casas 
'451440326897446916'	"RT @Francita98: Antofagasta envía ayuda a zona afectada por el terremoto,específicamente #Iquique ONEMI+Ejercito http://t.co/BbW9lcaq3Y"""	1396466735945	Antofagasta envía ayuda zona afectada por el terremoto,específicamente #Iquique ONEMI+Ejercito 
'452891831861538816'	RT @soopiiaa: Los + afectados y necesitados son aquellos q viven al interior la ayuda debiese ir para allá primero Gracias por todos los ap…	1396812801696	Los afectados necesitados son aquellos al interior la ayuda ir para allá primero Gracias por todos los ap… 
'451600536144330753'	"RT @munichmariuxitv: ""@NoticieroAnimal: Heroico rescate de un perro tras el terremoto en #IQUIQUE - #CHILE: http://t.co/Vt4uVVijXh"""	1396504932806	"""@NoticieroAnimal: Heroico rescate un perro tras el terremoto #IQUIQUE #CHILE: "
'452174545894375424'	RT @GonzaloZamorano: Impresionantes desplazamientos en casas Alto Cerro Dragón #iquique Requieren ayuda máquina pesada #TerremotoenChile ht…	1396641787395	Impresionantes desplazamientos casas Alto Cerro Dragón #iquique Requieren ayuda máquina pesada #TerremotoenChile ht… 
'451236395240026113'	Mis oraciones están con ustedes, que dios los proteja, todo estará bien. #FuerzaChile #PrayForChile	1396418114849	Mis oraciones ustedes, que dios los proteja, todo estará bien. #FuerzaChile #PrayForChile 
'451709748782854145'	RT @la_dani_takilla: Aquí está para las personas que quieran y puedan ayudar RT gracias :) #FuerzaChile #FuerzaNorteDeChile http://t.co/bjD…	1396530971128	Aquí está para las #FuerzaChile #FuerzaNorteDeChile 
'451515864685096960'	(#On_Swager_1) Terremoto con seis muertos en Chile pone a prueba nuevo Gobierno de Bachelet: SA... http://t.co/eLfw53d6cA (#On_Swager_1)	1396484745557	Terremoto seis muertos Chile pone nuevo Gobierno Bachelet: SA... 
'452238678530596864'	RT @mjcalvimontes: Gran legado @felipenavegante. Los chicos de @DesafioChile trabajando con todo para ayudar por #terremotochile, el mejor …	1396657077807	Gran legado Los chicos trabajando con todo para ayudar por #terremotochile, el mejor 
'453690472368984064'	Si la tv se va, las autoridades se relajaran, no critiquen el periodismo , hay muchas personas q necesitan ayuda y no les ha llegado#iquique	1397003212431	Si la tv se va, las autoridades critiquen el periodismo hay muchas personas necesitan ayuda les 
'451229581572198400'	"[ #Luiis_3x ] Cinco muertos en terremoto al norte chileno: SANTIAGO, Chile (AP) "" Un poderoso... http://t.co/8EkkH1ajZu ( #Wiz_Khalifa )"	1396416490344	#Luiis Cinco muertos terremoto al norte chileno: SANTIAGO, Chile (AP) Un poderoso... #Wiz 
'451875294710743040'	@RomeoSantosF Gobierno de Chile trabaja para restablecer servicios tras el terremoto: (CNN Espa... http://t.co/54velUbvpl @WinsFollowers	1396570440353	Gobierno Chile trabaja para restablecer servicios tras el terremoto: (CNN Espa... 
'451441048884355072'	Un terremoto de 8,2 grados en el norte de Chile deja seis muertos. De momento, el país ha decretado estado de catástrofes.	1396466908080	Un terremoto grados el norte Chile deja seis muertos. De momento, el país decretado estado catástrofes. 
'451887251275141120'	RT @bilbochile: #ayudaalospueblosinteriores #latirana #urgente #necesitan #ayudaurgente #TerremotoenChile” #apoyalatirana #IQUIQUE 	1396573291020	#ayudaalospueblosinteriores #latirana #urgente #necesitan #ayudaurgente #TerremotoenChile” #apoyalatirana #IQUIQUE  
'451736123111669760'	RT @PequeFran: #TerremotoenChile Universitarios organizan centros d acopio para ayudar al pueblo nortino. http://t.co/4VQsqIrCHf RT	1396537259258	#TerremotoenChile Universitarios organizan centros acopio para ayudar al pueblo nortino. 
'451366446367797248'	@mhonividente #mhonienda ayudame amiguis cuando voy a tener trabajo??	1396449121454	#mhonienda ayudame cuando tener trabajo?? 
'452108192005513216'	RT @Unimarc_ayuda: Todas nuestras  salas abiertas en #Iquique y #Alto Hospicio. Unimarc, con los precios de siempre. ¡Comprometidos con las…	1396625967395	Todas nuestras salas abiertas #Iquique #Alto Hospicio. Unimarc, los precios siempre. ¡Comprometidos las… 
'451269161919184896'	RT @ActualidadRT: ÚLTIMA HORA: Ministro del Interior de #Chile informa que el terremoto ha dejado 5 muertos http://t.co/6ltH9ggjuG	1396425927034	ÚLTIMA HORA: Ministro Interior #Chile informa que el terremoto dejado muertos 
'451877724785623040'	Queremos hacer campaña en Quellón-Chiloé para ir en ayuda a los Animales q están sufriendo x el terremoto en #Iquique  #FuerzaNorteDeChile	1396571019728	Queremos hacer campaña Quellón-Chiloé para ir ayuda los Animales q están sufriendo el terremoto #Iquique #FuerzaNorteDeChile 
'451588471132409857'	RT @noticiarepretel: Terremoto del martes dejó 6 muertos en Chile http://t.co/vff2Zv3zdS	1396502056283	Terremoto muertos Chile 
'451301292737314817'	RT @lorena_1985: El Gobierno confirma cinco muertos a causa del terremoto http://t.co/gky3tojzud vía @notimerica	1396433587618	El Gobierno confirma cinco causa 
'451525771618963456'	@Sol_Adriana13 ayuda con este ht tmb plis  #AngieArizagaContigoHastaLaFinalEEG	1396487107554	ayuda con este ht tmb #AngieArizagaContigoHastaLaFinalEEG 
'451570574305665024'	se que las palabras son vacías pero en verdad que mi sentir y mis oraciones hacia ustedes amigos de #Chile desde México pedimos por ustedes	1396497789347	se que las palabras son vacías verdad que mi sentir mis hacia ustedes amigos #Chile desde México por ustedes 
'451269099826741248'	5 muertos en un terremoto de 8,2 en costa de Chile IK5 Noticias (2/4/14): http://t.co/aPMjvPVS6y vía @YouTube	1396425912230	muertos terremoto costa Chile IK5 Noticias 
'451563515573059585'	Sumamente importante, especialmente porque sé que hay muchas personas interesadas en ayudar!  #RT #RT #RT #Chile http://t.co/DRIXK95mxR	1396496106414	Sumamente importante, especialmente porque sé que hay muchas interesadas ayudar! #RT #RT #RT #Chile 
'451598466846711808'	@CanalUnoTv  fuerza chilemos unamos nuestras oraciones para esta pobre gente #FuerzaChile	1396504439447	fuerza chilemos nuestras oraciones para esta pobre #FuerzaChile 
'452834265991225344'	RT @caropinofarias: @MissChile007 @Iquique_Tweet @CNNChile @jaimezamir LAMENTABLE, por que SI se necesita ayuda!! #iquique saldrá adelante …	1396799076923	LAMENTABLE, por que SI necesita ayuda!! #iquique saldrá adelante 
'451430645081059329'	RT @mariapazswimmer: #FuerzaChile Pronto pasará el caos... Estamos unidos por oraciones!	1396464427620	#FuerzaChile Pronto pasará el caos... Estamos unidos por oraciones! 
'451557409967071232'	ACABAN DE CORREGIR SEGUN LOS SERVICIOS ESTADOUNIDENSES QUE FUE 7.8  RICHTER #IQUIQUE #TERREMOTOENCHILE	1396494650724	ACABAN DE CORREGIR SEGUN LOS SERVICIOS ESTADOUNIDENSES QUE FUE RICHTER #IQUIQUE #TERREMOTOENCHILE 
'451607471568998400'	Imágenes del terremoto en Chile por terremoto de 8,3 grados, van 6 muertos hasta el momento!: http://t.co/WpeNVO3rTh via @YouTube	1396506586340	Imágenes del terremoto Chile por terremoto grados, van muertos el momento!: 
'451466941170212864'	Recien me rescate que hoy dos de abril les paso ese terremoto en chile, casualidad? Hmm .....	1396473081282	Recien 
'453604759250161665'	RT @DorysHarder: Este camion está afuera de Radio Paulina, Riquelme/ Juan Martinez esperando de tu ayuda #Iquique Apoyanos! RT http://t.co/…	1396982776831	Este camion está afuera Radio Paulina, Riquelme/ Juan Martinez esperando tu ayuda #Iquique Apoyanos! 
'453123312118669312'	RT @CNNChile: Desde Iquique ampliamos las informaciones en torno a la campaña de Caritas Chile para ayudar a los afectados por el terremoto…	1396867990890	Desde Iquique ampliamos las informaciones torno la campaña Caritas Chile para ayudar los afectados por el terremoto… 
'452258914000592896'	RT @MacriEmy: PISAGUA EN EL SUELO !!! QUIÉN AYUDA ?? TANTO PUEBLO ABANDONADO  DEL TERREMOTO ANTERIOR !! QUIÉN SE PREOCUPA ?? CHILE DE TODOS…	1396661902319	PISAGUA EN EL SUELO QUIÉN AYUDA TANTO PUEBLO ABANDONADO DEL TERREMOTO ANTERIOR QUIÉN SE PREOCUPA CHILE DE TODOS… 
'451372206216740865'	RT @mariomassaccesi: #Ahora #Chile #Iquique La presidenta Michelle Bachellet llega a la zona del terremoto. Fue de 8.3. Dejó 6 muertos.	1396450494709	#Ahora #Chile #Iquique La presidenta Michelle Bachellet llega la zona del terremoto. Fue Dejó muertos. 
'451342347964776448'	"""@DeenuBrice12: #FuerzaChile:chilenito q amargado se ve,cuando venga tsunami pedile ayuda al inglés! http://t.co/HM98LPudts""/CAGAOS DEL MATE"	1396443375947	"""@DeenuBrice12: #FuerzaChile:chilenito q amargado se ve,cuando venga tsunami pedile ayuda al inglés! DEL MATE "
'451377623751335937'	#FuerzaChile, desde #Argentina nuestros pensamientos están con ustedes. http://t.co/8CUvcIpCGu	1396451786350	#FuerzaChile, desde #Argentina nuestros pensamientos ustedes. 
'451557357727019008'	RT @elheraldoco: Gobierno de Chile confirma cinco muertos a causa del terremoto http://t.co/IWzwTrwk2r http://t.co/CGwFJud8gU	1396494638269	Gobierno Chile confirma cinco causa 
'453229488592019456'	RT @vivimatus: La subsecretaria de Educación visitará hoy los colegios de la región ! Queremos accion, ayuda no mas visitas #iquique	1396893305334	La subsecretaria Educación visitará hoy los colegios la región Queremos mas visitas #iquique 
'454619524319703040'	RT @TodosSomosIqq: Necesitamos voluntarios para este fin de semana. Más info acá: http://t.co/vmDEvhB5FO , contactarse a: todossomosiquique…	1397224715677	Necesitamos voluntarios para este fin Más info acá: a: todossomosiquique… 
'451420531577745408'	Al menos seis muertos tras un terremoto de magnitud 8,2 en la costa de Chile: El Gobierno chileno ha cancelado la alerta de tsunami d...	1396462016373	Al menos seis muertos tras terremoto magnitud la costa Chile: El Gobierno chileno cancelado la alerta tsunami d... 
'451421607211573248'	RT @maryedmary: #FuerzaChile mis oraciones para uds @GARDELIANO100  @NicolasMaduro @rafaelquiubo	1396462272824	#FuerzaChile mis oraciones para 
'451327239322234881'	Nuestros pensamientos y oraciones están con Chile tras el terremoto de 8.3 anoche, ánimo Raza!	1396439773766	Nuestros pensamientos oraciones Chile tras el terremoto anoche, ánimo Raza! 
'451376469626060801'	RT @LuciaCanal15: Ultima Hora. 5 muertos dejo terremoto en #Chile, informo Mntro. del interior. Se Cancelan alerta de sunami	1396451511185	Ultima Hora. muertos terremoto #Chile, informo Mntro. Cancelan alerta sunami 
'451475428319174656'	Las Malvinas Siempre Argentinas!! Gracias Chile x ayudarnos en su momento contra los Ingleses!💁 ah...no lo hicieron!🙈Igual #FuerzaChile! 💪	1396475104776	Las Malvinas Siempre Argentinas!! Gracias Chile ayudarnos su momento contra los Ingleses!💁 ah...no hicieron!🙈Igual #FuerzaChile! 
'451300480078348288'	Ahora x #CNN  @josemanuelcnn en vivo desde #Chile Aumentó a 6 los muertos por #TerremotoenChile	1396433393865	Ahora #CNN vivo desde #Chile Aumentó los muertos por #TerremotoenChile 
'451354155446464512'	No ayudamos en nada twiteando #FuerzaChile pongamonos a juntar ropa y comida para mandar! o colectas masivas como para el #27F	1396446191070	ayudamos nada twiteando #FuerzaChile pongamonos juntar ropa comida para mandar! colectas masivas para el #27F 
'451286722207178752'	RT @borilio: #TerremotoEnChile Ayuda en iquique amiga perdio su hija en evacuacion la madre, claudia cerda, la niña  martina si alguien sab…	1396430113733	#TerremotoEnChile Ayuda iquique perdio su hija evacuacion la madre, claudia cerda, la niña martina si alguien sab… 
'451317811193724929'	(#chrisink_23) Chile reporta 5 muertos. Se fugan un lote de presos. [imagenes]: El terremoto de... http://t.co/BMqxEH5SCV (#chrisink_23)	1396437525925	Chile reporta muertos. Se fugan un lote El terremoto de... 
'451311398673723394'	"CHILE: Cancelaron el ALERTA de TSUNAMI y las autoridades piden un regreso a casa ""ordenado"". Hay 6 muertos y 900 mil evacuados por el SISMO"	1396435997061	"CHILE: Cancelaron el ALERTA TSUNAMI las autoridades regreso casa ""ordenado"". Hay muertos mil evacuados por el SISMO "
'451413153461448704'	Suman 6 los muertos en Chile por terremoto: Suman al menos 64 las réplicas tras el movimiento telúrico que gol... http://t.co/jYcOydGfgO	1396460257293	Suman los muertos Chile por terremoto: Suman al menos las réplicas tras el movimiento telúrico 
'452261053116973057'	RT @kamyliiz: #CruzRoja pide donaciones H2O,alimentos,frazadas,etc.NO se deje ENGAÑAR por falsos funcionarios! Que piden dinero INFORMESE B…	1396662412324	#CruzRoja pide donaciones H2O,alimentos,frazadas,etc.NO se deje ENGAÑAR por Que piden dinero INFORMESE B… 
'453497070071328768'	RT @FernandoGarayP: Ahí esta el camión con toda la ayuda p los pescadores de Caleta Riquelme #Iquique GRACIAS #TwitterosSolidarios RT http:…	1396957101730	Ahí esta el camión toda la ayuda p los pescadores Caleta Riquelme #Iquique GRACIAS #TwitterosSolidarios 
'451347768825888768'	@BersGamer bers en chile efectivamente hubo tsunami , derrumbe , destruccion de 2.000 viviendas y gente desaparecida	1396444668381	bers chile efectivamente hubo tsunami derrumbe destruccion viviendas desaparecida 
'451322905633517568'	RT @anti_comunista: Un solidario abrazo a los hermanos Chilenos que se recuperan de un fuerte terremoto. Mis oraciones con ustedes. FUERZA …	1396438740534	Un solidario los hermanos Chilenos Mis oraciones ustedes. FUERZA 
'454353359168733184'	RT @Pilylais: @carolinapinoc por favor difundir, actividad realizada para ayudar a animales afetados por el terremoto en Iquique http://t.c…	1397161256960	por favor difundir, actividad realizada para ayudar animales afetados por el terremoto Iquique 
'451553045055561728'	"RT @vanessaberiain: ""@NoticieroAnimal:Heroico rescate de un perro tras el terremoto en #IQUIQUE#CHILE http://t.co/JaTQjPGiOl #FuerzaChile #…"	1396493610048	"""@NoticieroAnimal:Heroico perro tras el terremoto #IQUIQUE#CHILE #FuerzaChile #… "
'451545362499919872'	RT @dw_espanol: EE.UU., España y Brasil ofrecen ayuda a #Chile tras #terremoto http://t.co/viR8GqkRYX	1396491778384	EE.UU., España Brasil ofrecen ayuda #Chile tras #terremoto 
'454273551336742912'	@PueloSinTorres Recolectan ayudas para damnificados de terremoto en Chile http://t.co/9xuQTO5Pdn via https://t.co/B81ZuiigTk APOYO RT RT RT	1397142229290	Recolectan ayudas para damnificados terremoto Chile APOYO 
'451303314903531520'	RT @Anonymous_UE: Los ciudadanos toman las calles tras terremoto de 8,3 grados en Chile http://t.co/Rh0u01mOUn @BasuraDeEstado @Matterfilm …	1396434069740	Los ciudadanos toman las tras terremoto grados Chile 
