tweet_id	tweet_text	tweet_timeStamp	filt_tweet_text
'451585608612208640'	Guys northem chile really needs a support message #PrayForChile	1396501373805	Guys chile support message #PrayForChile 
'451500842395250688'	RT @Euphorian54: #Rehearsal time w/ @debbiegibson &amp; #TeamDeb for @bizarro_chile #HITPARADE &amp; @Blondieclub! #chile #santiago   http://t.co/A…	1396481163964	#Rehearsal time &amp; #TeamDeb #HITPARADE #chile #santiago 
'451833189439246336'	Happy B-Day! @AllRiseSilver https://t.co/jcfCkBv4ea #HappyHyukDay	1396560401674	B-Day! #HappyHyukDay 
'451330668539031552'	RT @kuroab_90: My heart goes out to the victims of the 8.2 magnitude earthquake in Chile. May God be with u all. ♥ #PrayForChile	1396440591355	heart victims magnitude earthquake Chile. May God ♥ #PrayForChile 
'451489071404040192'	Chile Earthquake: 5 Dead, Several Seriously Injured http://t.co/9v1Xr25bNg	1396478357541	Chile Earthquake: Dead, 
'451253361501675520'	RT @jarekkuzniar: Nowe ZDJĘCIA z #Chile “@RT_com: Damage &amp; fires in northern #Chile following 8.2 quake http://t.co/6pXO7G4VqV http://t.co/…	1396422159921	Nowe ZDJĘCIA z #Chile Damage &amp; fires #Chile quake 
'451269630560976896'	Tsunami watch continues: Chile extended its tsunami warnings for the northern region after they were lifted el... http://t.co/6gf0rgWG9Z	1396426038767	Tsunami continues: Chile tsunami warnings region 
'451416874711252993'	"RT @laughtopia: MT - ""In prayer for #Chile and all affected by earthquakes. May all beings be safe."" ~@SpiritualNurse http://t.co/4vlGEsNhv6"	1396461144508	"MT ""In prayer #Chile May beings ~@SpiritualNurse "
'452348504342818817'	@mayo__31 but not his home =/	1396683262321	home 
'452183730866487296'	RT @NewEarthquake: 4.7 earthquake, West Chile Rise. Apr 4 02:53 at epicenter (32m ago, 1294km Valdivia, depth 10km). http://t.co/1FYuyxacKJ	1396643977263	West Chile Rise. Apr epicenter ago, Valdivia, depth 
'451205465381150720'	Sending and surrounding the beings of #Chile with an abundance of love, light and prayers... May all be safe. #earthquake #tsunami	1396410740596	beings #Chile abundance love, light May #earthquake #tsunami 
'451554289719451648'	Another large quake (7.4M) strikes the N. coast of Chile again. 6 miles deep, no threat of tsunami.	1396493906799	quake (7.4M) N. coast Chile again. miles threat tsunami. 
'451441703309033472'	Looks fab! RT @AKTravel_UK: Welcome back!RT @CindersPaxton: #galloping through #grapevines fitting last day in #Chile http://t.co/Fj4e4JNVvZ	1396467064107	#galloping #grapevines day #Chile 
'451979533994840064'	#uk #tv #usa #news Chile earthquake not 'significant negative': Rame CEO  http://t.co/XpxIX2FeOX	1396595292935	#uk #tv #usa #news Chile earthquake negative': Rame CEO 
'451236703290683393'	Tsunami alert after 8.2 quake strikes off Chile - BBC News: BBC NewsTsunami alert after 8.2 quake strikes off ChileBBC NewsA quake of...	1396418188294	Tsunami alert quake strikes Chile BBC News: BBC NewsTsunami alert quake strikes ChileBBC NewsA quake of... 
'451190330079969281'	“@9NewsAUS: JUST IN: Tsunami warning has been dropped for all countries, except #Chile and #Peru. #9News” huh? Terribly written tweet?	1396407132059	IN: Tsunami warning countries, #Chile #Peru. #9News” tweet? 
'451297413593325568'	AT 11 - Cumbria charity backs Barnardo's to better protect kids AND worries about tsunami caused by quake near Chile http://t.co/5WOupt20oc	1396432662758	Cumbria charity Barnardo's kids worries tsunami quake Chile 
'451349276338036737'	my prayers goes for all the people who are severely affected by the earthquake at Chile. #PrayForChile	1396445027800	prayers people earthquake Chile. #PrayForChile 
'451587866888384512'	BREAKING: A 7.8-magnitude earthquake struck off Chile's northern coast Wednesday night, triggering a tsunami... http://t.co/WRbyO79to2	1396501912220	BREAKING: earthquake Chile's coast Wednesday night, tsunami... 
'456794233655922688'	Let's show our solidarity w earthquake + wildfire victims in #Chile.Donate http://t.co/6HN9PLnnKV #1000TECHOS #VALPO http://t.co/muUREgRBKA	1397743206787	Let's solidarity earthquake wildfire victims #Chile.Donate #1000TECHOS #VALPO 
'451796465623764992'	Laundry day. #chile #vscocam #patabronia2014 #laundry http://t.co/jkgsZiTYKd	1396551646034	Laundry day. #chile #vscocam #patabronia2014 #laundry 
'451236289690361857'	@Wampumqueen 8.2 earthquake in Chile.  Hopefully he is ok.	1396418089684	earthquake Chile. 
'451327897299873793'	"Mis oraciones para el pueblo chileno ""@YourAnonNews: Update: 2 deaths reported following earthquake off the coast of Chile. #chilequake"""	1396439930640	"Mis oraciones para el pueblo chileno ""@YourAnonNews: Update: deaths earthquake coast Chile. #chilequake"" "
'451247582187372544'	RT @SABreakingNews: Tsunami Alert after Chile Struck by 8.2 Earthquake: An earthquake measuring 8.2 on the Richter scale struck th... http:…	1396420782025	Tsunami Alert Chile Struck Earthquake: earthquake Richter scale 
'451411290951782400'	RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue…	1396459813236	earthquake Chile night. Magnitude tsunamis coast. #Fue… 
'451569389200875521'	A 7.4 magnitude earthquake at Chile again. #TsunamiAlertOn BE CAREFUL GUYS! My thoughts are with you!	1396497506796	magnitude earthquake Chile again. #TsunamiAlertOn GUYS! thoughts you! 
'451328078677938176'	RT @ali6hazali: uh oh, it's earthquake in Chile #PrayForChile	1396439973884	oh, earthquake Chile #PrayForChile 
'451351017301372928'	"RT @explanoit: ""God is testing you by killing your family with a random geologic event, keep the faith."" - a lot of the #PrayForChile tweets"	1396445442878	"""God family geologic event, faith."" lot #PrayForChile tweets "
'452315367940313088'	RT @Herbalife: Find out how you can help those in need after the 8.2-magnitude earthquake in Chile #HerbalfeFamilyFoundation http://t.co/Gu…	1396675361987	need earthquake Chile #HerbalfeFamilyFoundation 
'452150332400082945'	With @abigailortizz #santiago #chile #test #formal #XD http://t.co/Mf2YxZUnk5	1396636014448	#santiago #chile #test #formal #XD 
'451536398927945728'	let the skyfall, we will stand tall, at skyfall...	1396489641302	skyfall, tall, skyfall... 
'451262908320993280'	"""@Daily_Record: Live: 280 prisoners still on the run after huge earthquake strikes Chile http://t.co/sMMMxEHOyd"" Every cloud and all that.."	1396424436060	Live: prisoners run earthquake strikes Chile cloud 
'451828602930073600'	RT @_amroali: wow, Leaders of #Argentina, #Chile &amp; #Brazil in the 1970s &amp; today. http://t.co/VMKexN1ycF v @SultanAlQassemi #women	1396559308165	wow, Leaders #Argentina, #Chile #Brazil 1970s today. v #women 
'451215604708413440'	RT @fiveblockstock: Police have recaptured 16 of 300 escaped female prisoners in #iquique	1396413158000	Police prisoners #iquique 
'452448960691462145'	new icon, Header &amp; fondo &lt;3	1396707212981	icon, Header &amp; fondo &lt;3 
'451585812862230528'	#Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http://t.co/AfyYE3pFDX	1396501422502	#Sismo: Chile Earthquake: Tsunami Threat California, Officials 
'451712913733341184'	'The Amazing Spider-Man 2' Crawls Into The 2014 MTV Movie Awards via @GossipBucket http://t.co/95Lmx1iJM3	1396531725711	'The Spider-Man MTV Movie Awards 
'452309076332916736'	@estherminded here's your flower #chile http://t.co/p7Lm19ERAB	1396673861951	flower #chile 
'451788650557480960'	@JCandTheVoidz the earthquake in Chile is probably your fault, come back	1396549782777	earthquake Chile fault, 
'451841143987515392'	@Lauu_Aguirre CHAU. T2 MAL LOK	1396562298186	CHAU. T2 MAL LOK 
'451225340451770368'	@Vallie: WATCH LIVE: U.S. Geological Survey briefing on major Chilean earthquake http://t.co/6Kj1mkBCT3 … #ChileEarthquake	1396415479182	LIVE: U.S. Geological Survey briefing earthquake #ChileEarthquake 
