2dae	Today
ACPT	Accept
grappler	rapper
fench	french
scen	scene
ledgend	legend
harshh	harsh
dswd	department of social welfare and development
WTF	What the *freak* ?
QIK	Quick
backloggery	backlog
aweseome	awesome
typho	thypo
superstorms	superstars
blacke	black
nastradamus	nostradamus
brutalll	brutal
jayleen	jayleen
pinoys	pinoys
icymi	icymi
pleasuree	pleasure
misscarriage	miscarriage
nrmf	nicanor reyes medical foundation
BIL	Brother in law
dreadmill	treadmill
BBIAM	Be back in a minute
bagyo	bagyo
posttt	post
parrrtayyy	party
R8	Rate (SMS)
AWOL	Away without leaving
breat	breast
thios	this
plaaace	place
laclippers	clippers
pepol	people
thrustin	thrust
bhoys	boys
jewlery	jewelry
surounded	surrounded
handprints	handsprings
2mmrw	Tomorrow
ETA	Estimated time of arrival
sportin	supporting
interupts	interrupts
comemorar	commemorate
salamat	salamat
horribe	horrible
chimpmunks	chipmunk
reaaal	real
anythingrt	anything
AIGHT	Alright
pobably	probably
repaving	paving
BRD	Bored
affectees	affectees
ASAP	As soon as possible
pullin	pulling
bridgepoint	bridgeport
fireworkss	fireworks
occure	occur
monetization	magnetization
IFYP	I feel your pain
sesson	session
wase	was
reaaad	read
stayd	stayed
chritsmas	christmas
STFU	Shut the *freak* up
catalys	catalyst
4gv	Forgive
BAU	Business as usual
minist	ministry
prosecutorial	prosecutor
unfamilia	unfamiliar
nangkring	nanking
ater	after
IOW	In other words
3weeks	weeks
plz	please
telin	telling
annoyingg	annoying
MOSS	Member of same sex
dealine	deadline
NTHING	Nothing (SMS)
refesh	refresh
BWL	Bursting with laughter
icymi	in case you missed it
BBIAS	Be back in a sec
anywaaay	anyway
2gethr	together
brgys	barangay
hooommmeee	home
AFAIK	As far as I know
preassessment	preassessment
AKA	Also known as
basment	basement
coulda	could
MOS	Mother over shoulder
GG	Gotta Go
verifed	verified
dyfi	did you feel
exper	expert
focusss	focus
evrythg	everything
talllk	talk
cntrl	cntrl
badhega	badhega
hiiigh	high
BF	Boyfriend
utili	utility
BCOZ	Because
douchebags	douchebags
2mmrw	Tomorrow
dranked	drank
tomorrowww	tomorrow
fottball	football
mdrrmo	manila disaster risk reduction management office
ocha	ocha
remamber	remember
NMU	"Not much, you?"
dyfi	did you feel it
trilingual	bilingual
B2W	Back to work
youngg	young
poreans	singaporeans
tryin	trying
cmparisn	comparison
BF	Best friend
wokee	woke
srvivs	survivers
ndrrmc	national disaster risk reduction and management council
brough	brought
phoen	phone
maybeh	maybe
SOL	Sooner or later
BHL8	Be home late
novenber	november
PLZ	Please
4ever	Forever
raaain	rain
2MORROW	Tomorrow
assholish	asshole
looovvve	love
hyperventalatin	hyperventilate
customerize	customize
2mro	Tomorrow
reeeaaalllyy	really
THNX	Thanks
BAK	Back at keyboard
ackward	awkward
graet	great
hausla	hausla
relaize	realize
bgsoftware	software
BGWM	Be gentle with me
startiing	starting
evacn	evacuation
emptyin	emptying
whish	wish
PIC	Picture
LIC	Like I care
IMS	I am sorry
lgus	local government units
mmda	mmda
AYEC	At your earliest convenience
donnee	done
tried2	tried
2gether	Together
OTOH	On the other hand
CMON	Come on
ADBB	"All done, bye-bye"
nroc	nroc
fuckinggg	fucking
RMLB	Read my lips baby
idailey	idailey
MUSM	Miss you so much
takign	taking
draggin	dragging
ncrpo	national capital region police
sibblings	siblings
ABT	About
ADDY	Address
4got	Forgot
fanbase	fanbase
4lunch	lunch
reuterstyph	reuters typhoon
nohing	nothing
colleage	colleague
hallowgreen	halloween
brids	birds
2one	one
cheque	blank cheque
BYOB	Bring your own beer
2nyt	Tonight
atracted	attracted
calligraphic	calligraphy
salade	salad
lovng	loving
thankkss	thanks
everesting	everesting
alongg	along
IMO	In my opinion
2moz	Tomorrow
recommit	commit
folooow	follow
BOL	Best of luck
alhamdhu	alhamdhu lillah
unlovely	lovely
TBC	To be continued
sucesful	successful
AYDY	Are you done yet?
evrywhere	everywhere
firstt	first
cntrl	central
violetta	violet
reroll	roll
nisar	nasa-isro synthetic aperture radar
fiiin	fin
GUD	Good
SSINF	So stupid it_s not funny
SOAB	Son of a *B*
xvideos	video
collaspe	collapse
looved	loved
costum	costume
heptrs	helicopters
btween	between
presstitution	presstitution
destory	destroy
approa	approach
2morrow	Tommorrow
unlimted	unlimited
bbut	but
RUT	Are u (you) there?
evrywhre	everywhere
happeningg	happening
chlileans	chilians
fauck	fuck
waaall	wall
C4N	Ciao for now
pls	please
cerealll	cereal
acounts	accounts
2day	Today
younge	young
anyyone	anyone
marrige	marriage
2mo	Tomorrow
shirtt	shirt
poppn	popping
studnt	student
VIP	Very important person
EOM	End of message
tomoro	tomorrow
wowowow	wow
rly	really
ADMIN	Administrator
BME	Based on my experience
RUOK	Are you okay?
looves	loves
PPL	People
2dae	Today
hepters	hepters
crunchberry	cranberry
2gether	Together
stipes	stripes
brougt	brought
OVA	Over
dement	dementia
atlantaa	atlanta
equi	equip
rading	reading
unpleasent	unpleasant
wearwolf	werewolf
wierdd	weird
chooseee	choose
jaaames	james
chesticles	testicles
kingstonian	kingston
criticise	criticize
golfsmith	goldsmith
TOU	Thinking of you
shoutout	shout-out
BOT	Be on that
PRW	People/parents are watching
AAMOF	As a matter of fact
wooww	wow
expen	expense
SK8R	Skater
allowence	allowance
etoys	toys
albumu	album
ibarely	barely
myselfff	myself
mtsat	mtsat
7seconds	second
procedur	procedure
jtwc	joint typhoon warning centre
2moro	Tomorrow
STR8	Straight
luandry	laundry
CFS	Care for secret?
ingridients	ingredients
IMTM	I am the man
prieta	prieta
ldrshp	leadership
biggets	biggest
viirs	viirs
uplb	uplb
cuz	because
jokiin	joking
igota	gotta
enjoyble	enjoyable
mccruelty	cruelty
PLU	People like us
ROFLMAO	"Rolling on the floor, laughing my *butt* off"
benfit	benefit
mths	months
allahumma	allahumma
apoiam	apoiam
AYT	Are you there?
khnl	khnl
PSOS	Parent standing over shoulder
cntrs	centres
SSDD	"Same stuff, different day"
IM	Instant message
electricty	electricity
uav	unmanned aerial vehicle
2morro	Tomorrow
xroads	crossroads
goinngg	going
arreee	are
evrythn	everything
mtsat	multi-functional transport satellite
PCM	Please call me
troublesum	troublesome
govph	official gazette of the republic of the philippines
pplof	people of
ulimate	ultimate
asain	asian
NO1	No one
AAF	As a friend
S2S	Sorry to say
nrsp	nrsp
loadsa	loads
poppie89	poppies
kati	katie
hatesup	hatesup
AAP	Always a pleasure
BD	Big deal
redlac	latin american and caribbean network of environmental funds
candidatas	candidates
spellchecker	sepulcher
tickett	ticket
spokee	spoke
suprised	surprised
h/e	however
lgu	lgu
2fight	fight
olld	old
coz	because
wounderful	wonderful
hospitalll	hospital
omg	oh my god
mesed	messed
resoluti	resolution
4gai	Forget about it
sariah	sarah
OOC	Out of character
learnings	learning
woker	worker
familiaisraellu	familiarly
prounounced	pronounced
grandfa	grandma
dazzlingly	dazzling
icymi	in case you missed it
theathre	theater
BIF	Before I forget
jtwc	jobs in the woods
inquique	inquique
awit	wait
messinger	messenger
FYI	For your information
gbi	gbi
ratedd	rated
MTF	More to follow
revengeee	revenge
GTRM	Going to read mail
G2CU	Good to see you
guardianthe	guardian
cofee	coffee
governmnt	government
rlz	rules
AAR	At any rate
GF	Girl friend
administr	administer
AYTMTB	And you_re telling me this because
AMAP	As much as possible
4get	Forget
CUL	See you later
nutricious	nutritious
mcdonnalds	mcdonald
xtian	christian
4ever	Forever
goooaalll	goal
answerin	answering
BOOMS	Bored out of my skull
narisma	narisma
happyrt	happy
suprises	surprises
quesion	question
soliman	soliman
SYS	See you soon
GRATZ	Congratulations
viirs	visible infrared imaging radiometer suite
lnu	last name unknown
ALOL	Actually laughing out loud
evrybodi	everybody
apparentally	apparently
DIY	Do it yourself
mgmt	managment
maybey	maybe
obssessed	obsessed
rsmc	rsmc
suspectin	suspect
enhv	honningsvÃ¥g airport
imformation	information
hospitalist	hospitality
intelligen	intelligent
xoxo	xoxo
italked	talked
orlanda	orlando
kababayans	kababayans
addded	added
NLT	No later than
unconciously	unconscious
HAG1	Have a good one
WRK	Work
YA	Your
BSTS	Better safe than sorry
woked	woke
electri	electric
xtians	christians
EOS	End of show
unmotivated	motivated
stratches	scratches
adrs	Address
MSG	Message
NE1	Anyone
clg	college
hiar	hair
XME	Excuse Me
xpost	post
overweigh	overweight
icymi	icymi
BFF	Best friends forever
2nite	Tonight
formu	formula
thinkinn	thinking
cookd	cooked
AWC	After awhile crocodile
ONL	Online
laughhh	laugh
faaast	fast
nzers	lists of new zealanders
suddden	sudden
streetsides	streetsides
lhr	dha lahore
seened	seen
ORLY	Oh really?
AFZ	Acronym Free Zone
electricals	electrical
OTB	Off to bed
BION	Believe it or not
accdg	according
BFFL	Best friends for life
2hear	hear
commande	commander
controllin	controlling
fettish	fetish
FWRD	Forward
suggstng	suggesting
BIB	Boss is back
2moro	Tomorrow
phonee	phone
dunya	dunya
cigarrets	cigarettes
sushis	sushi
flirtin	flirting
lgus	local government in the philippines
aven	avenue
RU	Are you?
lnu	lnu
rltns	relations
pcc	portland community college
lumiliit	lumiliit
bily	billy
tomrrow	tomorrow
capabilites	capabilities
kild	killed
hostil	hostile
deadd	dead
becaus	because
FTW	For the win
satalite	satellite
rainny	rainy
exspecially	especially
BBIAF	Be back in a few
conceided	concerned
FYA	For your amusement
kreative	creative
4give	Forgive
saing	saying
measu	measu
BRNC	"Be right back, nature calls"
fiirst	first
tennesse	tennessee
PZA	Pizza
attackkk	attack
strickly	strictly
aproval	approval
nisar	nasa isro synthetic aperture radar
soular	solar
BIH	Burn in hell
AEAP	As early as possible
frmr	former
snorin	snoring
coolz	cool
contac	contact
portait	portrait
permanantly	permanently
ADIP	Another day in paradise
geotagging	tagging
ifscpunb	indian financial system code of punjab national bank
bandwaggon	bandwagon
sip2	sip
bhasa	bhasa
whereeva	wherever
ventu	venture
AYOR	At your own risk
2getr	Together
preformances	performance
4head	Forehead
FOAF	Friend of a friend
icymi	in case you missed it
franka	frank
essayy	essay
earthqu	earthquake
chrisss	chris
BASOR	Breathing a sigh of relief
N1	Nice one
gbgenre	genre
VRY	Very
loadss	loads
cimss	cooperative institute for meteorological satellite studies
colour	color
SK8	Skate
amoung	among
holllyyy	holy
goodluck	goodluck
cookk	cook
impuestos	impuestos
weeknd	weekend
earthqu	earthqu
bootyyy	booty
relase	release
buut	but
BDN	Big darn number
sssooo	so
consid	consid
findd	find
laundrymat	laundromat
ptwc	pacific tsunami warning center
2marrow	tomorrow
AZN	Asian
lmao	laughing my ass off
ADAD	"Another day, another dollar"
friidayy	friday
cuzzies	cousins
bldgs	buildings
2morrow	Tommorrow
PIP	Peeing in pants (laughing hard)
jourdan	jordan
arcserve	reserve
fone	phone
complicaaated	complicated
LOL	Laughing out loud
pwoper	proper
JP	Just playing
vpadmin	vp admin
nzdt	new zealand daylight time
THX	Thanks
lpu	lpu
tonite	tonight
xlarge	large
PM	Private Message
cooki	cookie
novembeard	november
cnnbrk	cnnbrk
jtwc	joint typhoon warning center
passings	passing
upthere	there
stayy	stay
rsmc	rural and suburban mail carriers
esp	especially
battl	battle
receipe	recipe
buuy	buy
4gv	Forgive
amazinger	amazing
E1	Everyone
wothout	without
BITMT	But in the meantime
unfpa	united nations population fund
bacons	bacon
icymi	icymi
propooganda	propaganda
gfx	gfx
popps	pops
OOH	Out of here
udan	dan
rememebered	remembered
2sday	Tuesday
adamsonians	adamsonians
rsmc	regional specialized meteorological center
infographic	infographic
hallowee	halloween
emotionz	emotions
POV	Point of view
kgmb	kgmb
bhattarai	first minister
goees	goes
SOS	Meaning help
mmda	metropolitan manila development authority
vote4	vote
RBAY	Right back at you
ROFL	Rolling on floor laughing
doin	doing
2sum	sum
BIOYN	Blow it out your nose
IA8	I already ate
T4BU	Thanks for being you
clubing	clubbing
ADRS	Address
2mora	Tomorrow
OOTD	One of these days
BDAY	Birthday
4gai	Forget about it
xxplosive	explosive
predications	predictions
throughly	thoroughly
fcuker	fucker
abooout	about
sillyrt	silly
bcuz	because
PRT	Party
mgmt	management
beeeautiful	beautiful
bdayy	day
mientras	mientras
immedia	immedia
BRBB	Be right back *babe*
ADR	Address
OMW	On my way
DNT	Don_t
specificall	specifically
elligible	eligible
jtwc	jtwc
inju	injured
uncontrolable	uncontrollable
typho	typhoon
vpadmin	vpadmin
recove	recovery
allerqic	allergic
cheffy	chef
ttww	two
caz	because
AFAIUI	As far as I understand it
ndrrmc	national disaster risk reduction & management counci
unisdr	united nations international strategy for disaster reduction
BOP	Meaning “bind on pickup” (online gaming)
internex	internet
nzers	nzers
demario	mario
packinq	packing
mngemnt	management
introduc	introduce
schmack	smack
reaserch	research
lycean	lycean
thatnk	thank
ACQSTN	Acquisition
BFN	Bye for now
uav	unmanned aerial vehicle
AAF	As a matter of fact
rmembr	remember
absoulutly	absolutely
bullshiters	blisters
4getu	Forget you
himsellf	himself
tomm	tomorrow
Y2K	You_re too kind
clairebear	clearer
viia	via
ADIH	Another day in hell
lerts	lets
4evr	Forever
tierdd	tired
chearing	cheering
quantification	notification
usgsa	u.s. general services administration
douchebags	douchebags
houseee	house
forgeting	forgetting
xtians	christian
raaf	royal australian air force
wennt	went
OTTOMH	Off the top of my head
uhum	hum
st8	state
tvix	daily 2x vix st etn velocityshares
backbreaker	backpacker
tradgedy	tragedy
loonnng	long
mcchicken	chicken
shuffel	shuffle
depresssing	depressing
NP	No problem
nisar	nasa isro sar
greating	greeting
amember	member
helikopter	helicopter
andersson	anderson
infrastructu	infrastructure
kikc	kick
ILY	I love you
ninee	nine
interseismic	real time interseismic
jusyt	just
AT	At your terminal
seperates	separates
evacu	evacuation
hongkongers	hongkongers
recharger	charger
unexpecting	expecting
counselling	counseling
conputer	computer
everesting	climbing at once
kpoplovers	popovers
investigatory	investigators
misappropriatio	misappropriated
pplz	people
LMK	Let me know
bann	ban
cntct	contact
CRB	Come right back
albumm	album
thingie	thing
ambas	ambassador
checkin	checking
BBIAB	Be back in a bit
GTSY	Great (or good) to see you
DM	Direct message
LIK	Meaning liquor
FAF	Funny as *freak*
smh	shake my head
albume	album
stfu	shut the fuck up
riddiculous	ridiculous
produccion	productions
spoked	spoke
GNIGHT	Good night
thicking	ticking
inappropriatene	inappropriate
assclowns	assclown
qeneral	general
scifi	science fiction
GFN	Gone for now
tarapaca	giry new
CAM	Camera (SMS)
AFAIAA	As far as I am aware
wasd	was
convertion	conversion
attitudeee	attitude
lnger	longer
roxas	roxas
nzdt	new zealand daylight time zone
THNQ	Thank you
RLY	Really
OMG	Oh my God
utcfriday	utcfriday
BISFLATM	"Boy, I sure feel like a turquoise monkey! (unverified)"
longines	loneliness
appened	happened
SSIF	So stupid it_s funny
strengtheneth	strengthen
4got	Forgot
bronz	bronze
tweeple	twitter people
viirs	visible infrared imaging radiometer suite
moneeey	money
tcpi	to complete performance index
tintin	tint
littlearth	littler
evrday	everyday
motivationally	motivation
chaddis	chaddis
AFK	Away from keyboard
UR	Your / You're
ppls	people
B-DAY	Birthday
compeition	competition
ADMINR	Administrator
wuz	what's
y00	you
amazinggg	amazing
srvivs	survivors
doughter	daughter
uav	uav
rench	wrench
chistmas	christmas
looong	long
BL	Belly laugh
GRL	Girl
unbundled	bundled
becoz	because
BOB	Back off *buddy*
L8R	Later
3kids	kids
PLMK	Please let me know
rainnn	rain
cafetaria	cafeteria
BBL	Be back later
intervieuw	interview
isecond	second
poppd	popped
B/C	Because
giiive	give
4work	work
mbcas	mbcas
astaghfirullah	astaghfirullah
BSOD	Blue screen of death
lasallians	lasallians
giiirlll	girl
emotiona	emotional
medcare	medicare
hazus	hazards united states
jucy	juicy
kathman	kathman
BM&Y	Between me and you
openerp	opener
LMFAO	Laughing my freaking *a* off
ASLA	Age/sex/location/availability
malaar	malaar
CU2	See you too
hommmeee	home
cannit	cant
mooviee	movie
H8TTU	Hate to be you
dylans	dylan
unsportsman	sportsman
probabaly	probably
marle	marley
ferrys	ferry
BSF	But seriously folks
SYL	See you later
BC	Be cool
CU	See you
relisting	resting
BYOC	Bring your own computer
controvers	controversial
efect	effect
cookn	cooking
blujays	blujays
IMU	I miss u (you)
